"filename", "language", "Markdown", "Shell Script", "YAML", "Ignore", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "HTML", "Properties", "Prisma", "GraphQL", "SQL", "comment", "blank", "total"
"d:\ELIV\PROJECTS\eliv-api\.github\workflows\deploy-gcp.prod.yml", "YAML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 46
"d:\ELIV\PROJECTS\eliv-api\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\ELIV\PROJECTS\eliv-api\api\.dockerignore", "Ignore", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ELIV\PROJECTS\eliv-api\api\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\ELIV\PROJECTS\eliv-api\api\.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\ELIV\PROJECTS\eliv-api\api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 20, 50
"d:\ELIV\PROJECTS\eliv-api\api\README.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 74
"d:\ELIV\PROJECTS\eliv-api\api\nest-cli.json", "JSON", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ELIV\PROJECTS\eliv-api\api\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ELIV\PROJECTS\eliv-api\api\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 16656, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16657
