Date : 2023-01-18 10:57:51
Directory : d:\ELIV\PROJECTS\eliv-api
Total : 190 files,  23178 codes, 259 comments, 1206 blanks, all 24643 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     16,791 |          8 |          3 |     16,802 |
| TypeScript         |        128 |      2,931 |         59 |        553 |      3,543 |
| GraphQL            |          1 |      2,690 |         12 |        388 |      3,090 |
| Prisma             |         14 |        271 |         16 |        112 |        399 |
| SQL                |         25 |        151 |        121 |         78 |        350 |
| YAML               |          3 |        130 |          7 |         11 |        148 |
| Markdown           |          2 |         56 |          2 |         24 |         82 |
| HTML               |          1 |         39 |          2 |          1 |         42 |
| Properties         |          2 |         33 |         22 |          9 |         64 |
| JavaScript         |          1 |         27 |          0 |          1 |         28 |
| Docker             |          2 |         25 |          8 |         21 |         54 |
| JSON with Comments |          1 |         24 |          0 |          1 |         25 |
| Shell Script       |          3 |          5 |          2 |          3 |         10 |
| Ignore             |          1 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        190 |     23,178 |        259 |      1,206 |     24,643 |
| . (Files)                                                                                               |          6 |        106 |          8 |          6 |        120 |
| .github                                                                                                 |          1 |         34 |          1 |         11 |         46 |
| .github\workflows                                                                                       |          1 |         34 |          1 |         11 |         46 |
| api                                                                                                     |        180 |     22,963 |        226 |      1,179 |     24,368 |
| api (Files)                                                                                             |         11 |     16,911 |         18 |         47 |     16,976 |
| api\src                                                                                                 |        167 |      6,023 |        208 |      1,126 |      7,357 |
| api\src (Files)                                                                                         |          6 |      2,836 |         19 |        406 |      3,261 |
| api\src\auth                                                                                            |         21 |        433 |          8 |         89 |        530 |
| api\src\auth (Files)                                                                                    |          5 |        208 |          5 |         35 |        248 |
| api\src\auth\decorators                                                                                 |          2 |         13 |          0 |          4 |         17 |
| api\src\auth\decorators (Files)                                                                         |          1 |          8 |          0 |          2 |         10 |
| api\src\auth\decorators\is-public                                                                       |          1 |          5 |          0 |          2 |          7 |
| api\src\auth\dto                                                                                        |          4 |         44 |          0 |         16 |         60 |
| api\src\auth\enums                                                                                      |          2 |          8 |          0 |          2 |         10 |
| api\src\auth\guards                                                                                     |          3 |         79 |          3 |         17 |         99 |
| api\src\auth\strategies                                                                                 |          3 |         72 |          0 |         13 |         85 |
| api\src\auth\types                                                                                      |          2 |          9 |          0 |          2 |         11 |
| api\src\comments                                                                                        |          8 |        248 |          0 |         49 |        297 |
| api\src\comments (Files)                                                                                |          6 |        225 |          0 |         43 |        268 |
| api\src\comments\dto                                                                                    |          2 |         23 |          0 |          6 |         29 |
| api\src\common                                                                                          |          5 |         50 |          0 |          8 |         58 |
| api\src\common\constants                                                                                |          4 |         46 |          0 |          7 |         53 |
| api\src\common\enums                                                                                    |          1 |          4 |          0 |          1 |          5 |
| api\src\config                                                                                          |          3 |         27 |          0 |          3 |         30 |
| api\src\live-sessions                                                                                   |         10 |        195 |          0 |         43 |        238 |
| api\src\live-sessions (Files)                                                                           |          8 |        185 |          0 |         41 |        226 |
